date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,34.4,35.595,34.4,35.52,35.52,6578054.0,6578054.0,1.12,3.256,35.17167,"October 25, 22",0.03256
2022-10-24,34.4,34.75,34.11,34.69,34.69,7655744.0,7655744.0,0.29,0.843,34.51667,"October 24, 22",0.00843
2022-10-21,33.4,34.54,33.21,34.3,34.3,9883827.0,9883827.0,0.9,2.695,34.01667,"October 21, 22",0.02695
2022-10-20,33.5,34.03,33.32,33.36,33.36,6221215.0,6221215.0,-0.14,-0.418,33.57,"October 20, 22",-0.00418
2022-10-19,32.91,33.59,32.83,33.39,33.39,8461485.0,8461485.0,0.48,1.459,33.27,"October 19, 22",0.01459
2022-10-18,33.46,33.88,32.7,33.1,33.1,1.0003297E7,1.0003297E7,-0.36,-1.076,33.22667,"October 18, 22",-0.01076
2022-10-17,33.73,33.98,32.96,33.0,33.0,1.3118883E7,1.3118883E7,-0.73,-2.164,33.31333,"October 17, 22",-0.02164
2022-10-14,33.7,34.24,33.2,33.24,33.24,1.0481857E7,1.0481857E7,-0.46,-1.365,33.56,"October 14, 22",-0.01365
2022-10-13,31.91,34.005,31.77,33.65,33.65,2.1219793E7,2.1219793E7,1.74,5.453,33.14167,"October 13, 22",0.05453
2022-10-12,32.65,32.88,31.88,31.94,31.94,9555100.0,9555100.0,-0.71,-2.175,32.23333,"October 12, 22",-0.02175
2022-10-11,32.03,33.17,31.94,32.61,32.61,1.0980533E7,1.0980533E7,0.58,1.811,32.57333,"October 11, 22",0.01811
2022-10-10,30.87,32.16,30.83,31.84,31.84,1.0555715E7,1.0555715E7,0.97,3.142,31.61,"October 10, 22",0.03142
2022-10-07,32.03,32.07,30.39,30.52,30.52,1.1291105E7,1.1291105E7,-1.51,-4.714,30.99333,"October 07, 22",-0.04714
2022-10-06,33.1,33.26,32.18,32.25,32.25,5417781.0,5417781.0,-0.85,-2.568,32.56333,"October 06, 22",-0.02568
2022-10-05,33.29,33.38,32.705,33.16,33.16,5308387.0,5308387.0,-0.13,-0.391,33.08167,"October 05, 22",-0.00391
2022-10-04,32.61,33.4,32.6,33.39,33.39,6426758.0,6426758.0,0.78,2.392,33.13,"October 04, 22",0.02392
2022-10-03,31.81,32.51,31.29,32.43,32.43,8335418.0,8335418.0,0.62,1.949,32.07667,"October 03, 22",0.01949
2022-09-30,31.66,31.79,31.345,31.4,31.4,8035961.0,8035961.0,-0.26,-0.821,31.51167,"September 30, 22",-0.00821
2022-09-29,32.81,32.81,31.23,31.55,31.55,8230483.0,8230483.0,-1.26,-3.84,31.86333,"September 29, 22",-0.0384
2022-09-28,32.6,33.2997,32.265,33.2,33.2,6680526.0,6680526.0,0.6,1.84,32.92157,"September 28, 22",0.0184
2022-09-27,33.0,33.22,32.33,32.43,32.43,6142846.0,6142846.0,-0.57,-1.727,32.66,"September 27, 22",-0.01727
2022-09-26,32.58,33.01,32.44,32.69,32.69,5483188.0,5483188.0,0.11,0.338,32.71333,"September 26, 22",0.00338
2022-09-23,33.04,33.15,32.38,32.83,32.83,6091810.0,6091810.0,-0.21,-0.636,32.78667,"September 23, 22",-0.00636
2022-09-22,33.42,33.53,32.92,33.32,33.32,4933990.0,4933990.0,-0.1,-0.299,33.25667,"September 22, 22",-0.00299
2022-09-21,34.196,34.4099,33.43,33.43,33.43,5001659.0,5001659.0,-0.766,-2.24,33.75663,"September 21, 22",-0.0224
2022-09-20,33.95,34.1,33.53,33.99,33.99,5080017.0,5080017.0,0.04,0.118,33.87333,"September 20, 22",0.00118
2022-09-19,34.0,34.2,33.7,34.15,34.15,5373054.0,5373054.0,0.15,0.441,34.01667,"September 19, 22",0.00441
2022-09-16,34.09,34.69,33.86,34.27,34.27,1.0565845E7,1.0565845E7,0.18,0.528,34.27333,"September 16, 22",0.00528
2022-09-15,34.77,35.18,33.95,34.23,34.23,1.0890282E7,1.0890282E7,-0.54,-1.553,34.45333,"September 15, 22",-0.01553
2022-09-14,34.9,34.99,34.51,34.77,34.77,6419212.0,6419212.0,-0.13,-0.372,34.75667,"September 14, 22",-0.00372
2022-09-13,36.088,36.31,34.615,34.74,34.74,8313073.0,8313073.0,-1.348,-3.735,35.22167,"September 13, 22",-0.03735
