date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,34.94,35.51,34.81,35.29,35.29,5728114.0,5728114.0,0.35,1.002,35.20333,"October 25, 22",0.01002
2022-10-24,34.76,35.24,34.055,34.92,34.92,4565825.0,4565825.0,0.16,0.46,34.73833,"October 24, 22",0.0046
2022-10-21,33.32,34.89,33.09,34.86,34.86,6231387.0,6231387.0,1.54,4.622,34.28,"October 21, 22",0.04622
2022-10-20,33.6,34.36,33.02,33.47,33.47,4074577.0,4074577.0,-0.13,-0.387,33.61667,"October 20, 22",-0.00387
2022-10-19,33.21,34.005,33.065,33.36,33.36,3879574.0,3879574.0,0.15,0.452,33.47667,"October 19, 22",0.00452
2022-10-18,34.95,35.14,33.17,33.61,33.61,3605214.0,3605214.0,-1.34,-3.834,33.97333,"October 18, 22",-0.03834
2022-10-17,34.56,34.82,33.3,33.89,33.89,3828021.0,3828021.0,-0.67,-1.939,34.00333,"October 17, 22",-0.01939
2022-10-14,35.36,35.42,33.65,33.72,33.72,3071592.0,3071592.0,-1.64,-4.638,34.26333,"October 14, 22",-0.04638
2022-10-13,33.21,35.79,32.78,35.1,35.1,5871253.0,5871253.0,1.89,5.691,34.55667,"October 13, 22",0.05691
2022-10-12,34.74,34.805,33.27,34.28,34.28,7523872.0,7523872.0,-0.46,-1.324,34.11833,"October 12, 22",-0.01324
2022-10-11,35.58,36.315,34.02,34.82,34.82,5357693.0,5357693.0,-0.76,-2.136,35.05167,"October 11, 22",-0.02136
2022-10-10,35.58,35.98,34.39,34.66,34.66,3662627.0,3662627.0,-0.92,-2.586,35.01,"October 10, 22",-0.02586
2022-10-07,36.49,38.95,35.355,35.74,35.74,9719656.0,9719656.0,-0.75,-2.055,36.68167,"October 07, 22",-0.02055
2022-10-06,36.92,37.35,35.21,37.06,37.06,9054662.0,9054662.0,0.14,0.379,36.54,"October 06, 22",0.00379
2022-10-05,35.98,37.7887,35.82,37.17,37.17,6904463.0,6904463.0,1.19,3.307,36.92623,"October 05, 22",0.03307
2022-10-04,34.98,36.5,34.935,36.46,36.46,1.0183457E7,1.0183457E7,1.48,4.231,35.965,"October 04, 22",0.04231
2022-10-03,33.29,34.31,32.96,34.05,34.05,4149843.0,4149843.0,0.76,2.283,33.77333,"October 03, 22",0.02283
2022-09-30,32.12,33.96,32.12,32.55,32.55,6524064.0,6524064.0,0.43,1.339,32.87667,"September 30, 22",0.01339
2022-09-29,32.45,32.535,31.561,32.18,32.18,4544543.0,4544543.0,-0.27,-0.832,32.092,"September 29, 22",-0.00832
2022-09-28,32.72,33.52,32.535,33.15,33.15,3735330.0,3735330.0,0.43,1.314,33.06833,"September 28, 22",0.01314
2022-09-27,32.8,32.99,32.31,32.72,32.72,3828878.0,3828878.0,-0.08,-0.244,32.67333,"September 27, 22",-0.00244
2022-09-26,33.43,33.78,32.35,32.4,32.4,4667497.0,4667497.0,-1.03,-3.081,32.84333,"September 26, 22",-0.03081
2022-09-23,33.2,33.93,33.03,33.84,33.84,7480072.0,7480072.0,0.64,1.928,33.6,"September 23, 22",0.01928
2022-09-22,34.555,34.8,33.525,33.82,33.82,4593221.0,4593221.0,-0.735,-2.127,34.04833,"September 22, 22",-0.02127
2022-09-21,35.09,36.32,34.76,34.78,34.78,4321695.0,4321695.0,-0.31,-0.883,35.28667,"September 21, 22",-0.00883
2022-09-20,35.9,36.08,34.94,35.54,35.54,5340189.0,5340189.0,-0.36,-1.003,35.52,"September 20, 22",-0.01003
2022-09-19,36.56,37.11,36.185,36.62,36.62,3909472.0,3909472.0,0.06,0.164,36.63833,"September 19, 22",0.00164
2022-09-16,37.07,37.62,36.315,37.22,37.22,7263428.0,7263428.0,0.15,0.405,37.05167,"September 16, 22",0.00405
2022-09-15,38.17,38.76,37.325,37.77,37.77,5114028.0,5114028.0,-0.4,-1.048,37.95167,"September 15, 22",-0.01048
2022-09-14,39.32,39.532,37.745,38.33,38.33,5965904.0,5965904.0,-0.99,-2.518,38.53567,"September 14, 22",-0.02518
2022-09-13,41.68,41.815,39.03,39.32,39.32,8297642.0,8297642.0,-2.36,-5.662,40.055,"September 13, 22",-0.05662
2022-09-12,44.09,44.49,43.09,43.27,43.27,4597552.0,4597552.0,-0.82,-1.86,43.61667,"September 12, 22",-0.0186
2022-09-09,42.88,44.06,42.79,43.8,43.8,3525263.0,3525263.0,0.92,2.146,43.55,"September 09, 22",0.02146
2022-09-08,41.17,42.47,40.64,42.41,42.41,4096104.0,4096104.0,1.24,3.012,41.84,"September 08, 22",0.03012
2022-09-07,40.9,41.635,40.13,41.45,41.45,4087041.0,4087041.0,0.55,1.345,41.07167,"September 07, 22",0.01345
2022-09-06,41.475,41.88,40.52,40.97,40.97,3443886.0,3443886.0,-0.505,-1.218,41.12333,"September 06, 22",-0.01218
2022-09-02,42.74,42.8099,41.4723,41.65,41.65,2851413.0,2851413.0,-1.09,-2.55,41.9774,"September 02, 22",-0.0255
2022-09-01,40.79,42.17,40.38,41.99,41.99,7053815.0,7053815.0,1.2,2.942,41.51333,"September 01, 22",0.02942
2022-08-31,42.42,43.0,41.95,42.26,42.26,4296528.0,4296528.0,-0.16,-0.377,42.40333,"August 31, 22",-0.00377
