date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,44.78,45.595,44.365,45.37,45.37,1.6338879E7,1.6338879E7,0.59,1.318,45.11,"October 25, 22",0.01318
2022-10-24,44.95,45.53,44.83,45.2,45.2,1.615323E7,1.615323E7,0.25,0.556,45.18667,"October 24, 22",0.00556
2022-10-21,43.64,44.88,43.57,44.83,44.83,1.8626953E7,1.8626953E7,1.19,2.727,44.42667,"October 21, 22",0.02727
2022-10-20,43.68,44.43,43.5,43.65,43.65,1.7570997E7,1.7570997E7,-0.03,-0.069,43.86,"October 20, 22",-6.9E-4
2022-10-19,44.18,44.52,43.3,43.62,43.62,1.787415E7,1.787415E7,-0.56,-1.268,43.81333,"October 19, 22",-0.01268
2022-10-18,45.11,45.3,43.82,44.67,44.67,2.4802991E7,2.4802991E7,-0.44,-0.975,44.59667,"October 18, 22",-0.00975
2022-10-17,44.66,45.19,43.89,43.96,43.96,2.4459877E7,2.4459877E7,-0.7,-1.567,44.34667,"October 17, 22",-0.01567
2022-10-14,43.8,44.93,43.13,43.17,43.17,3.3955394E7,3.3955394E7,-0.63,-1.438,43.74333,"October 14, 22",-0.01438
2022-10-13,39.75,42.67,39.75,42.38,42.38,2.3778957E7,2.3778957E7,2.63,6.616,41.6,"October 13, 22",0.06616
2022-10-12,40.24,41.22,39.96,40.51,40.51,1.647037E7,1.647037E7,0.27,0.671,40.56333,"October 12, 22",0.00671
2022-10-11,41.22,41.32,40.06,40.23,40.23,1.9135318E7,1.9135318E7,-0.99,-2.402,40.53667,"October 11, 22",-0.02402
2022-10-10,41.94,42.11,41.15,41.45,41.45,1.0972983E7,1.0972983E7,-0.49,-1.168,41.57,"October 10, 22",-0.01168
2022-10-07,42.03,42.12,41.39,41.79,41.79,1.7183742E7,1.7183742E7,-0.24,-0.571,41.76667,"October 07, 22",-0.00571
2022-10-06,42.87,43.14,42.21,42.24,42.24,1.563386E7,1.563386E7,-0.63,-1.47,42.53,"October 06, 22",-0.0147
2022-10-05,42.83,43.54,42.56,43.31,43.31,1.5869813E7,1.5869813E7,0.48,1.121,43.13667,"October 05, 22",0.01121
2022-10-04,42.16,43.59,42.16,43.54,43.54,1.8595825E7,1.8595825E7,1.38,3.273,43.09667,"October 04, 22",0.03273
2022-10-03,41.29,41.8,40.64,41.58,41.58,1.6823307E7,1.6823307E7,0.29,0.702,41.34,"October 03, 22",0.00702
2022-09-30,40.64,41.135,40.18,40.22,40.22,1.937771E7,1.937771E7,-0.42,-1.033,40.51167,"September 30, 22",-0.01033
2022-09-29,40.16,40.69,39.77,40.5,40.5,1.4810905E7,1.4810905E7,0.34,0.847,40.32,"September 29, 22",0.00847
2022-09-28,39.9,41.06,39.9,40.81,40.81,1.6032669E7,1.6032669E7,0.91,2.281,40.59,"September 28, 22",0.02281
2022-09-27,40.21,40.59,39.41,40.03,40.03,1.7535242E7,1.7535242E7,-0.18,-0.448,40.01,"September 27, 22",-0.00448
2022-09-26,40.14,40.54,39.34,40.01,40.01,2.1413265E7,2.1413265E7,-0.13,-0.324,39.96333,"September 26, 22",-0.00324
2022-09-23,40.82,40.98,39.7,40.41,40.41,2.3303965E7,2.3303965E7,-0.41,-1.004,40.36333,"September 23, 22",-0.01004
2022-09-22,42.49,42.51,41.44,41.52,41.52,1.5496348E7,1.5496348E7,-0.97,-2.283,41.82333,"September 22, 22",-0.02283
2022-09-21,43.66,43.81,42.24,42.27,42.27,1.918885E7,1.918885E7,-1.39,-3.184,42.77333,"September 21, 22",-0.03184
2022-09-20,43.89,44.29,43.09,43.41,43.41,1.9503013E7,1.9503013E7,-0.48,-1.094,43.59667,"September 20, 22",-0.01094
2022-09-19,43.43,44.61,43.41,44.32,44.32,1.1317089E7,1.1317089E7,0.89,2.049,44.11333,"September 19, 22",0.02049
2022-09-16,43.7,44.06,43.33,43.94,43.94,2.1233168E7,2.1233168E7,0.24,0.549,43.77667,"September 16, 22",0.00549
2022-09-15,43.4,44.69,43.35,44.14,44.14,1.3166204E7,1.3166204E7,0.74,1.705,44.06,"September 15, 22",0.01705
