date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,139.09,140.44,138.32,140.07,140.07,4815960.0,4815960.0,0.98,0.705,139.61,"October 25, 22",0.00705
2022-10-24,137.45,140.475,137.13,139.41,139.41,5810204.0,5810204.0,1.96,1.426,139.005,"October 24, 22",0.01426
2022-10-21,134.81,137.41,134.0,136.8,136.8,6042874.0,6042874.0,1.99,1.476,136.07,"October 21, 22",0.01476
2022-10-20,133.98,135.4,133.65,134.09,134.09,4250305.0,4250305.0,0.11,0.082,134.38,"October 20, 22",8.2E-4
2022-10-19,134.33,134.73,132.97,133.76,133.76,3145586.0,3145586.0,-0.57,-0.424,133.82,"October 19, 22",-0.00424
2022-10-18,133.43,135.1,133.33,134.14,134.14,5399482.0,5399482.0,0.71,0.532,134.19,"October 18, 22",0.00532
2022-10-17,130.96,132.8251,130.585,131.37,131.37,5716121.0,5716121.0,0.41,0.313,131.59337,"October 17, 22",0.00313
2022-10-14,132.44,133.2136,130.06,130.43,130.43,5546552.0,5546552.0,-2.01,-1.518,131.23453,"October 14, 22",-0.01518
2022-10-13,129.28,132.94,128.37,132.28,132.28,6823187.0,6823187.0,3.0,2.321,131.19667,"October 13, 22",0.02321
2022-10-12,133.01,134.7693,130.97,131.17,131.17,5437433.0,5437433.0,-1.84,-1.383,132.3031,"October 12, 22",-0.01383
2022-10-11,129.51,133.8,129.5,132.67,132.67,7092716.0,7092716.0,3.16,2.44,131.99,"October 11, 22",0.0244
2022-10-10,129.53,129.93,128.2817,129.32,129.32,3733776.0,3733776.0,-0.21,-0.162,129.17723,"October 10, 22",-0.00162
2022-10-07,131.31,131.65,128.07,128.56,128.56,5525695.0,5525695.0,-2.75,-2.094,129.42667,"October 07, 22",-0.02094
2022-10-06,133.08,134.48,131.58,131.68,131.68,4733484.0,4733484.0,-1.4,-1.052,132.58,"October 06, 22",-0.01052
2022-10-05,133.76,134.62,132.51,132.92,132.92,4725401.0,4725401.0,-0.84,-0.628,133.35,"October 05, 22",-0.00628
2022-10-04,133.86,135.195,133.38,134.25,134.25,5378208.0,5378208.0,0.39,0.291,134.275,"October 04, 22",0.00291
2022-10-03,130.24,132.79,130.01,132.53,132.53,5857667.0,5857667.0,2.29,1.758,131.77667,"October 03, 22",0.01758
2022-09-30,132.2400055,132.3600006,129.6999969,129.6999969,129.6999969,6517900.0,6517900.0,-2.54001,-1.921,130.58666,"September 30, 22",-0.01921
2022-09-29,133.5,134.1199951,131.6300049,132.25,132.25,5080500.0,5080500.0,-1.25,-0.936,132.66667,"September 29, 22",-0.00936
2022-09-28,131.4100037,133.6499939,129.7200012,133.1100006,133.1100006,5612800.0,5612800.0,1.7,1.294,132.16,"September 28, 22",0.01294
2022-09-27,132.2299957,133.4299927,130.3000031,130.9499969,130.9499969,5723900.0,5723900.0,-1.28,-0.968,131.56,"September 27, 22",-0.00968
2022-09-26,128.75,132.1399994,128.2700043,131.3099976,131.3099976,7670400.0,7670400.0,2.56,1.988,130.57333,"September 26, 22",0.01988
2022-09-23,132.8699951,133.1799927,128.7700043,130.0599976,130.0599976,9062300.0,9062300.0,-2.81,-2.115,130.67,"September 23, 22",-0.02115
2022-09-22,134.5700073,134.7200012,132.8399963,133.3899994,133.3899994,5581500.0,5581500.0,-1.18001,-0.877,133.65,"September 22, 22",-0.00877
2022-09-21,135.4400024,137.4499969,134.6199951,134.7700043,134.7700043,8301200.0,8301200.0,-0.67,-0.495,135.61333,"September 21, 22",-0.00495
2022-09-20,133.4799957,133.8800049,132.5399933,133.5500031,133.5500031,4654500.0,4654500.0,0.07001,0.052,133.32333,"September 20, 22",5.2E-4
2022-09-19,132.8200073,134.7599945,132.4700012,134.3300018,134.3300018,5617700.0,5617700.0,1.50999,1.137,133.85333,"September 19, 22",0.01137
2022-09-16,132.0,134.5500031,131.2799988,133.1900024,133.1900024,1.39572E7,1.39572E7,1.19,0.902,133.00667,"September 16, 22",0.00902
2022-09-15,135.0500031,135.1499939,132.9700012,133.4700012,133.4700012,6729800.0,6729800.0,-1.58,-1.17,133.86333,"September 15, 22",-0.0117
2022-09-14,135.6300049,136.5299988,134.1000061,134.9199982,134.9199982,6644900.0,6644900.0,-0.71001,-0.523,135.18333,"September 14, 22",-0.00523
2022-09-13,136.8600006,137.9499969,134.8099976,135.2200012,135.2200012,5895800.0,5895800.0,-1.64,-1.198,135.99333,"September 13, 22",-0.01198
2022-09-12,137.0800018,138.25,136.9700012,138.0700073,138.0700073,4761500.0,4761500.0,0.99001,0.722,137.76334,"September 12, 22",0.00722
2022-09-09,136.3000031,137.5,136.1300049,136.8399963,136.8399963,5380200.0,5380200.0,0.53999,0.396,136.82333,"September 09, 22",0.00396
2022-09-08,135.3999939,136.8699951,134.8800049,136.4299927,136.4299927,5652000.0,5652000.0,1.03,0.761,136.06,"September 08, 22",0.00761
2022-09-07,133.0599976,135.9700012,132.7400055,135.7400055,135.7400055,5686300.0,5686300.0,2.68001,2.014,134.81667,"September 07, 22",0.02014
2022-09-06,133.0500031,133.6199951,130.7200012,132.3399963,132.3399963,7299900.0,7299900.0,-0.71001,-0.534,132.22666,"September 06, 22",-0.00534
2022-09-02,134.8500061,135.6699982,132.4299927,133.0,133.0,5741200.0,5741200.0,-1.85001,-1.372,133.7,"September 02, 22",-0.01372
2022-09-01,132.5399933,135.1399994,132.3999939,134.4799957,134.4799957,7247300.0,7247300.0,1.94,1.464,134.00666,"September 01, 22",0.01464
2022-08-31,132.7799988,133.7899933,131.9299927,132.5500031,132.5500031,7486900.0,7486900.0,-0.23,-0.173,132.75666,"August 31, 22",-0.00173
2022-08-30,133.3399963,133.6499939,131.7400055,132.4799957,132.4799957,4822700.0,4822700.0,-0.86,-0.645,132.62333,"August 30, 22",-0.00645
2022-08-29,130.8300018,133.8699951,130.5899963,132.8800049,132.8800049,5793900.0,5793900.0,2.05,1.567,132.44667,"August 29, 22",0.01567
2022-08-26,136.1100006,136.8300018,131.5099945,131.6000061,131.6000061,7110600.0,7110600.0,-4.50999,-3.313,133.31333,"August 26, 22",-0.03313
2022-08-25,135.2799988,135.9900055,135.0299988,135.8699951,135.8699951,6471500.0,6471500.0,0.59,0.436,135.63,"August 25, 22",0.00436
2022-08-24,134.3500061,135.2899933,133.6000061,134.9700012,134.9700012,5255500.0,5255500.0,0.62,0.461,134.62,"August 24, 22",0.00461
2022-08-23,134.6100006,134.9600067,133.2100067,134.0,134.0,5651700.0,5651700.0,-0.61,-0.453,134.05667,"August 23, 22",-0.00453
2022-08-22,136.1999969,136.7200012,134.4400024,134.5700073,134.5700073,6222400.0,6222400.0,-1.62999,-1.197,135.24334,"August 22, 22",-0.01197
2022-08-19,138.9199982,139.0700073,136.9100037,137.0200043,137.0200043,7639600.0,7639600.0,-1.89999,-1.368,137.66667,"August 19, 22",-0.01368
2022-08-18,139.5299988,140.4199982,138.5,139.0700073,139.0700073,6399200.0,6399200.0,-0.45999,-0.33,139.33,"August 18, 22",-0.0033
