date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,20.66,21.515,20.37,21.43,21.43,9545013.0,9545013.0,0.77,3.727,21.105,"October 25, 22",0.03727
2022-10-24,21.21,21.525,20.92,21.44,21.44,8990961.0,8990961.0,0.23,1.084,21.295,"October 24, 22",0.01084
2022-10-21,20.12,21.66,20.11,21.65,21.65,1.3685399E7,1.3685399E7,1.53,7.604,21.14,"October 21, 22",0.07604
2022-10-20,19.33,20.73,19.26,20.04,20.04,1.032318E7,1.032318E7,0.71,3.673,20.01,"October 20, 22",0.03673
2022-10-19,19.93,20.32,19.36,19.54,19.54,6675855.0,6675855.0,-0.39,-1.957,19.74,"October 19, 22",-0.01957
2022-10-18,20.19,20.48,19.7392,20.07,20.07,9476057.0,9476057.0,-0.12,-0.594,20.0964,"October 18, 22",-0.00594
2022-10-17,19.44,19.915,19.42,19.65,19.65,9521724.0,9521724.0,0.21,1.08,19.66167,"October 17, 22",0.0108
2022-10-14,20.0,20.09,18.82,18.85,18.85,9569329.0,9569329.0,-1.15,-5.75,19.25333,"October 14, 22",-0.0575
2022-10-13,18.8,20.0325,18.52,19.86,19.86,1.1605076E7,1.1605076E7,1.06,5.638,19.47083,"October 13, 22",0.05638
2022-10-12,19.35,19.51,18.68,19.33,19.33,1.071683E7,1.071683E7,-0.02,-0.103,19.17333,"October 12, 22",-0.00103
2022-10-11,19.04,19.73,18.9,19.45,19.45,6969726.0,6969726.0,0.41,2.153,19.36,"October 11, 22",0.02153
2022-10-10,19.3,19.59,19.06,19.32,19.32,1.0287933E7,1.0287933E7,0.02,0.104,19.32333,"October 10, 22",0.00104
2022-10-07,19.41,19.63,18.7,18.81,18.81,1.1289421E7,1.1289421E7,-0.6,-3.091,19.04667,"October 07, 22",-0.03091
2022-10-06,19.61,20.25,19.53,19.62,19.62,9253652.0,9253652.0,0.01,0.051,19.8,"October 06, 22",5.1E-4
2022-10-05,19.98,20.44,19.6,20.19,20.19,1.541295E7,1.541295E7,0.21,1.051,20.07667,"October 05, 22",0.01051
2022-10-04,19.64,20.49,19.64,20.43,20.43,1.2166851E7,1.2166851E7,0.79,4.022,20.18667,"October 04, 22",0.04022
2022-10-03,18.64,19.62,18.47,19.39,19.39,2.1885781E7,2.1885781E7,0.75,4.024,19.16,"October 03, 22",0.04024
2022-09-30,18.42,18.785,18.1,18.12,18.12,8693182.0,8693182.0,-0.3,-1.629,18.335,"September 30, 22",-0.01629
2022-09-29,18.52,18.65,18.01,18.54,18.54,9281597.0,9281597.0,0.02,0.108,18.4,"September 29, 22",0.00108
2022-09-28,18.34,18.89,17.8886,18.73,18.73,1.2619513E7,1.2619513E7,0.39,2.126,18.50287,"September 28, 22",0.02126
2022-09-27,18.54,18.845,18.3,18.64,18.64,1.6951565E7,1.6951565E7,0.1,0.539,18.595,"September 27, 22",0.00539
2022-09-26,18.3,19.05,18.12,18.2,18.2,1.2481019E7,1.2481019E7,-0.1,-0.546,18.45667,"September 26, 22",-0.00546
2022-09-23,18.96,19.05,18.25,18.59,18.59,1.4983146E7,1.4983146E7,-0.37,-1.951,18.63,"September 23, 22",-0.01951
2022-09-22,20.24,20.3,19.455,19.68,19.68,1.0427664E7,1.0427664E7,-0.56,-2.767,19.81167,"September 22, 22",-0.02767
2022-09-21,20.5,20.7783,19.85,19.85,19.85,1.2541321E7,1.2541321E7,-0.65,-3.171,20.15943,"September 21, 22",-0.03171
2022-09-20,19.95,20.44,19.91,20.33,20.33,1.1936931E7,1.1936931E7,0.38,1.905,20.22667,"September 20, 22",0.01905
2022-09-19,19.74,20.75,19.65,20.49,20.49,1.3755432E7,1.3755432E7,0.75,3.799,20.29667,"September 19, 22",0.03799
2022-09-16,19.88,20.325,19.72,20.14,20.14,2.5154131E7,2.5154131E7,0.26,1.308,20.06167,"September 16, 22",0.01308
2022-09-15,20.7,21.0373,20.01,20.3,20.3,1.4507029E7,1.4507029E7,-0.4,-1.932,20.4491,"September 15, 22",-0.01932
2022-09-14,21.74,21.89,20.01,20.43,20.43,1.9261006E7,1.9261006E7,-1.31,-6.026,20.77667,"September 14, 22",-0.06026
2022-09-13,23.18,23.61,22.27,22.36,22.36,1.1952766E7,1.1952766E7,-0.82,-3.538,22.74667,"September 13, 22",-0.03538
2022-09-12,25.47,25.62,23.89,23.93,23.93,1.6176895E7,1.6176895E7,-1.54,-6.046,24.48,"September 12, 22",-0.06046
2022-09-09,24.66,25.26,24.46,25.22,25.22,1.2598581E7,1.2598581E7,0.56,2.271,24.98,"September 09, 22",0.02271
2022-09-08,22.89,24.5582,22.89,24.29,24.29,1.3973717E7,1.3973717E7,1.4,6.116,23.91273,"September 08, 22",0.06116
2022-09-07,21.53,23.36,21.4,23.17,23.17,1.3820714E7,1.3820714E7,1.64,7.617,22.64333,"September 07, 22",0.07617
2022-09-06,21.91,22.33,21.465,21.98,21.98,1.314998E7,1.314998E7,0.07,0.319,21.925,"September 06, 22",0.00319
2022-09-02,22.12,22.65,21.65,21.71,21.71,1.3662537E7,1.3662537E7,-0.41,-1.854,22.00333,"September 02, 22",-0.01854
2022-09-01,22.1,22.29,21.16,21.48,21.48,1.3727755E7,1.3727755E7,-0.62,-2.805,21.64333,"September 01, 22",-0.02805
2022-08-31,23.64,23.885,22.83,22.87,22.87,1.1817381E7,1.1817381E7,-0.77,-3.257,23.195,"August 31, 22",-0.03257
2022-08-30,25.39,25.39,23.505,23.67,23.67,1.0762565E7,1.0762565E7,-1.72,-6.774,24.18833,"August 30, 22",-0.06774
2022-08-29,25.0,25.99,24.73,25.39,25.39,7246852.0,7246852.0,0.39,1.56,25.37,"August 29, 22",0.0156
