date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,106.41,107.33,105.0701,105.88,105.88,1.5691125E7,1.5691125E7,-0.53,-0.498,106.09337,"October 25, 22",-0.00498
2022-10-24,105.66,107.68,105.12,106.6,106.6,1.7025398E7,1.7025398E7,0.94,0.89,106.46667,"October 24, 22",0.0089
2022-10-21,104.45,106.4,103.905,105.86,105.86,2.28163E7,2.28163E7,1.41,1.35,105.38833,"October 21, 22",0.0135
2022-10-20,104.32,105.0,103.41,103.93,103.93,1.7649243E7,1.7649243E7,-0.39,-0.374,104.11333,"October 20, 22",-0.00374
2022-10-19,101.25,103.99,101.23,103.79,103.79,2.0922561E7,2.0922561E7,2.54,2.509,103.00333,"October 19, 22",0.02509
2022-10-18,101.54,102.35,99.23,100.8,100.8,1.4058797E7,1.4058797E7,-0.74,-0.729,100.79333,"October 18, 22",-0.00729
2022-10-17,101.07,101.97,100.5,100.62,100.62,1.4275802E7,1.4275802E7,-0.45,-0.445,101.03,"October 17, 22",-0.00445
2022-10-14,101.12,102.24,99.04,99.19,99.19,1.522333E7,1.522333E7,-1.93,-1.909,100.15667,"October 14, 22",-0.01909
2022-10-13,97.55,102.45,97.4,101.87,101.87,2.2014797E7,2.2014797E7,4.32,4.428,100.57333,"October 13, 22",0.04428
2022-10-12,97.5,98.91,97.23,98.43,98.43,1.2632976E7,1.2632976E7,0.93,0.954,98.19,"October 12, 22",0.00954
2022-10-11,97.22,99.76,96.75,98.0,98.0,1.7798477E7,1.7798477E7,0.78,0.802,98.17,"October 11, 22",0.00802
2022-10-10,101.49,102.03,98.72,98.84,98.84,1.6779567E7,1.6779567E7,-2.65,-2.611,99.86333,"October 10, 22",-0.02611
2022-10-07,102.19,103.32,100.18,101.03,101.03,2.4499835E7,2.4499835E7,-1.16,-1.135,101.51,"October 07, 22",-0.01135
2022-10-06,98.47,102.18,98.33,102.06,102.06,2.9107525E7,2.9107525E7,3.59,3.646,100.85667,"October 06, 22",0.03646
2022-10-05,95.75,99.99,95.66,99.12,99.12,3.4812227E7,3.4812227E7,3.37,3.52,98.25667,"October 05, 22",0.0352
2022-10-04,93.24,95.36,92.71,95.27,95.27,2.2119098E7,2.2119098E7,2.03,2.177,94.44667,"October 04, 22",0.02177
2022-10-03,90.04,92.36,89.72,91.92,91.92,2.3876607E7,2.3876607E7,1.88,2.088,91.33333,"October 03, 22",0.02088
2022-09-30,88.17,89.04,87.31,87.31,87.31,2.1345667E7,2.1345667E7,-0.86,-0.975,87.88667,"September 30, 22",-0.00975
2022-09-29,88.18,89.36,87.13,88.68,88.68,1.7889827E7,1.7889827E7,0.5,0.567,88.39,"September 29, 22",0.00567
2022-09-28,86.12,89.3,85.92,88.86,88.86,1.9534278E7,1.9534278E7,2.74,3.182,88.02667,"September 28, 22",0.03182
2022-09-27,85.61,86.955,84.81,85.74,85.74,1.6858158E7,1.6858158E7,0.13,0.152,85.835,"September 27, 22",0.00152
2022-09-26,84.9,86.22,83.89,83.98,83.98,2.2035918E7,2.2035918E7,-0.92,-1.084,84.69667,"September 26, 22",-0.01084
2022-09-23,87.5,87.5,84.85,85.75,85.75,2.7732552E7,2.7732552E7,-1.75,-2.0,86.03333,"September 23, 22",-0.02
2022-09-22,92.2,92.66,90.52,90.57,90.57,1.6135712E7,1.6135712E7,-1.63,-1.768,91.25,"September 22, 22",-0.01768
2022-09-21,93.57,93.88,90.87,90.95,90.95,1.7314855E7,1.7314855E7,-2.62,-2.8,91.9,"September 21, 22",-0.028
2022-09-20,92.73,92.93,91.64,92.44,92.44,1.4704913E7,1.4704913E7,-0.29,-0.313,92.33667,"September 20, 22",-0.00313
2022-09-19,91.01,93.49,91.0,93.2,93.2,1.534066E7,1.534066E7,2.19,2.406,92.56333,"September 19, 22",0.02406
2022-09-16,95.07,95.34,92.0,93.21,93.21,3.7873116E7,3.7873116E7,-1.86,-1.956,93.51667,"September 16, 22",-0.01956
