date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,13.62,13.73,11.8,13.675,13.675,1.0965058E7,1.0965058E7,0.055,0.404,13.06833,"October 25, 22",0.00404
2022-10-24,16.18,16.26,15.74,15.91,15.91,1941256.0,1941256.0,-0.27,-1.669,15.97,"October 24, 22",-0.01669
2022-10-21,15.2,16.11,15.03,16.06,16.06,1882915.0,1882915.0,0.86,5.658,15.73333,"October 21, 22",0.05658
2022-10-20,15.35,15.61,15.1,15.24,15.24,1043401.0,1043401.0,-0.11,-0.717,15.31667,"October 20, 22",-0.00717
2022-10-19,14.78,15.31,14.75,15.28,15.28,1314329.0,1314329.0,0.5,3.383,15.11333,"October 19, 22",0.03383
2022-10-18,15.09,15.29,14.69,14.94,14.94,1298701.0,1298701.0,-0.15,-0.994,14.97333,"October 18, 22",-0.00994
2022-10-17,14.92,15.1,14.66,14.73,14.73,2010100.0,2010100.0,-0.19,-1.273,14.83,"October 17, 22",-0.01273
2022-10-14,15.06,15.15,14.73,14.76,14.76,1383799.0,1383799.0,-0.3,-1.992,14.88,"October 14, 22",-0.01992
2022-10-13,14.08,15.04,13.89,15.02,15.02,1759301.0,1759301.0,0.94,6.676,14.65,"October 13, 22",0.06676
2022-10-12,13.69,14.37,13.56,14.31,14.31,1613404.0,1613404.0,0.62,4.529,14.08,"October 12, 22",0.04529
2022-10-11,13.91,14.02,13.53,13.59,13.59,1134887.0,1134887.0,-0.32,-2.301,13.71333,"October 11, 22",-0.02301
2022-10-10,14.34,14.48,13.78,14.05,14.05,896723.0,896723.0,-0.29,-2.022,14.10333,"October 10, 22",-0.02022
2022-10-07,14.48,14.64,14.19,14.29,14.29,1120490.0,1120490.0,-0.19,-1.312,14.37333,"October 07, 22",-0.01312
2022-10-06,14.76,14.98,14.61,14.7,14.7,1073196.0,1073196.0,-0.06,-0.407,14.76333,"October 06, 22",-0.00407
2022-10-05,14.31,14.93,14.27,14.89,14.89,1653515.0,1653515.0,0.58,4.053,14.69667,"October 05, 22",0.04053
2022-10-04,13.76,14.67,13.74,14.66,14.66,1991843.0,1991843.0,0.9,6.541,14.35667,"October 04, 22",0.06541
2022-10-03,13.31,13.73,13.13,13.58,13.58,1595130.0,1595130.0,0.27,2.029,13.48,"October 03, 22",0.02029
2022-09-30,13.4300003,13.6800003,13.0600004,13.0799999,13.0799999,2059300.0,2059300.0,-0.35,-2.606,13.27333,"September 30, 22",-0.02606
2022-09-29,13.8599997,13.96,13.1300001,13.4300003,13.4300003,2421000.0,2421000.0,-0.43,-3.102,13.50667,"September 29, 22",-0.03102
2022-09-28,13.9499998,14.5699997,13.8800001,14.5,14.25,1940800.0,1940800.0,0.3,2.151,14.23333,"September 28, 22",0.02151
2022-09-27,14.0200005,14.1400003,13.79,14.0,13.7586212,2222800.0,2222800.0,-0.26138,-1.864,13.89621,"September 27, 22",-0.01864
2022-09-26,14.1599998,14.5500002,13.75,13.8400002,13.6013794,1874200.0,1874200.0,-0.55862,-3.945,13.96713,"September 26, 22",-0.03945
2022-09-23,14.96,15.0,13.8900003,14.3299999,14.0829315,2126200.0,2126200.0,-0.87707,-5.863,14.32431,"September 23, 22",-0.05863
2022-09-22,15.3999996,15.4200001,15.1300001,15.1599998,14.8986206,1444500.0,1444500.0,-0.50138,-3.256,15.14954,"September 22, 22",-0.03256
2022-09-21,16.2999992,16.3799992,15.3500004,15.3599997,15.0951719,1904500.0,1904500.0,-1.20483,-7.392,15.60839,"September 21, 22",-0.07392
2022-09-20,16.1000004,16.25,15.9099998,16.1800003,15.9010353,882100.0,882100.0,-0.19897,-1.236,16.02035,"September 20, 22",-0.01236
2022-09-19,16.0699997,16.3400002,16.0400009,16.2700005,15.9894838,1361300.0,1361300.0,-0.08052,-0.501,16.12316,"September 19, 22",-0.00501
2022-09-16,15.7200003,16.3400002,15.46,16.2199993,15.9403448,4873600.0,4873600.0,0.22034,1.402,15.91345,"September 16, 22",0.01402
2022-09-15,15.9700003,16.25,15.71,15.8199997,15.5472412,1226600.0,1226600.0,-0.42276,-2.647,15.83575,"September 15, 22",-0.02647
2022-09-14,16.1200008,16.1599998,15.6400003,16.0400009,15.7634497,1435700.0,1435700.0,-0.35655,-2.212,15.85448,"September 14, 22",-0.02212
2022-09-13,16.0699997,16.25,15.9099998,16.0400009,15.7634497,1118700.0,1118700.0,-0.30655,-1.908,15.97448,"September 13, 22",-0.01908
2022-09-12,16.6100006,16.8500004,16.4200001,16.5599995,16.2744827,1336700.0,1336700.0,-0.33552,-2.02,16.51483,"September 12, 22",-0.0202
2022-09-09,16.2199993,16.4500008,16.2000008,16.3799992,16.0975857,1119200.0,1119200.0,-0.12241,-0.755,16.2492,"September 09, 22",-0.00755
2022-09-08,15.8199997,16.0900002,15.6800003,16.0900002,15.8125868,1120400.0,1120400.0,-0.00741,-0.047,15.86086,"September 08, 22",-4.7E-4
2022-09-07,15.6999998,16.0,15.54,16.0,15.7241383,1255200.0,1255200.0,0.02414,0.154,15.75471,"September 07, 22",0.00154
2022-09-06,15.8500004,16.0900002,15.6499996,15.8599997,15.5865517,1430500.0,1430500.0,-0.26345,-1.662,15.77552,"September 06, 22",-0.01662
2022-09-02,16.4899998,16.5900002,15.7299995,15.79,15.5177593,1263100.0,1263100.0,-0.97224,-5.896,15.94592,"September 02, 22",-0.05896
2022-09-01,16.3600006,16.4200001,15.8199997,16.1599998,15.8813791,1507700.0,1507700.0,-0.47862,-2.926,16.04046,"September 01, 22",-0.02926
2022-08-31,16.8600006,16.8799992,16.5599995,16.6200008,16.3334503,1236200.0,1236200.0,-0.52655,-3.123,16.59115,"August 31, 22",-0.03123
2022-08-30,17.2700005,17.3500004,16.7700005,16.8400002,16.5496559,982400.0,982400.0,-0.72034,-4.171,16.88989,"August 30, 22",-0.04171
2022-08-29,16.8299999,17.4899998,16.75,17.2800007,16.9820709,1286100.0,1286100.0,0.15207,0.904,17.07402,"August 29, 22",0.00904
2022-08-26,18.0200005,18.0200005,16.9899998,17.0400009,16.7462082,953100.0,953100.0,-1.27379,-7.069,17.25207,"August 26, 22",-0.07069
2022-08-25,17.5400009,18.0400009,17.5400009,18.0200005,17.7093105,854200.0,854200.0,0.16931,0.965,17.7631,"August 25, 22",0.00965
2022-08-24,17.5499992,17.6800003,17.3199997,17.4300003,17.1294842,899800.0,899800.0,-0.42052,-2.396,17.37649,"August 24, 22",-0.02396
2022-08-23,17.6499996,17.9099998,17.6499996,17.6599998,17.3555183,1007700.0,1007700.0,-0.29448,-1.668,17.63851,"August 23, 22",-0.01668
2022-08-22,18.2700005,18.2700005,17.6200008,17.6499996,17.3456898,1615900.0,1615900.0,-0.92431,-5.059,17.74523,"August 22, 22",-0.05059
2022-08-19,18.6700001,18.6800003,18.2800007,18.5799999,18.259655,927800.0,927800.0,-0.41035,-2.198,18.40655,"August 19, 22",-0.02198
2022-08-18,18.5699997,19.0900002,18.4599991,18.9899998,18.6625862,1299600.0,1299600.0,0.09259,0.499,18.73753,"August 18, 22",0.00499
2022-08-17,18.7999992,18.8099995,18.1100006,18.5900002,18.2694836,1607100.0,1607100.0,-0.53052,-2.822,18.39649,"August 17, 22",-0.02822
2022-08-16,18.9699993,19.3999996,18.9699993,19.2399998,18.9082756,856500.0,856500.0,-0.06172,-0.325,19.09276,"August 16, 22",-0.00325
2022-08-15,18.9699993,19.3299999,18.8799992,19.1100006,18.7805176,1126500.0,1126500.0,-0.18948,-0.999,18.99684,"August 15, 22",-0.00999
2022-08-12,18.5799999,19.1700001,18.4300003,19.1399994,18.8099995,1621800.0,1621800.0,0.23,1.238,18.80333,"August 12, 22",0.01238
2022-08-11,18.2900009,18.6800003,18.2000008,18.4400005,18.1220703,1522200.0,1522200.0,-0.16793,-0.918,18.33402,"August 11, 22",-0.00918
2022-08-10,17.9500008,18.1200008,17.7900009,18.1100006,17.79776,2114200.0,2114200.0,-0.15224,-0.848,17.90259,"August 10, 22",-0.00848
2022-08-09,17.5,17.5799999,17.4099998,17.5699997,17.2670689,1380500.0,1380500.0,-0.23293,-1.331,17.41902,"August 09, 22",-0.01331
2022-08-08,17.6200008,17.7700005,17.4799995,17.6200008,17.3162079,1295800.0,1295800.0,-0.30379,-1.724,17.52207,"August 08, 22",-0.01724
2022-08-05,17.2600002,17.6399994,17.1599998,17.5599995,17.2572403,1246600.0,1246600.0,-0.00276,-0.016,17.35241,"August 05, 22",-1.6E-4
2022-08-04,17.5100002,17.5900002,17.3500004,17.4899998,17.188448,1272200.0,1272200.0,-0.32155,-1.836,17.37615,"August 04, 22",-0.01836
2022-08-03,17.1100006,17.5400009,17.0699997,17.4799995,17.1786213,1178300.0,1178300.0,0.06862,0.401,17.26287,"August 03, 22",0.00401
2022-08-02,17.0799999,17.2999992,16.8999996,16.9799995,16.6872406,1259100.0,1259100.0,-0.39276,-2.3,16.96241,"August 02, 22",-0.023
2022-08-01,16.9300003,17.3600006,16.9300003,17.1800003,16.8837929,1490500.0,1490500.0,-0.04621,-0.273,17.05793,"August 01, 22",-0.00273
2022-07-29,16.8500004,17.1700001,16.6900005,17.1299992,16.8346539,1679500.0,1679500.0,-0.01535,-0.091,16.89822,"July 29, 22",-9.1E-4
2022-07-28,16.6900005,16.9699993,16.4200001,16.8500004,16.5594826,1840400.0,1840400.0,-0.13052,-0.782,16.64983,"July 28, 22",-0.00782
2022-07-27,16.4200001,16.7700005,16.2700005,16.7199993,16.4317245,2759300.0,2759300.0,0.01172,0.071,16.49058,"July 27, 22",7.1E-4
2022-07-26,15.4899998,16.5200005,15.1499996,16.3799992,16.0975857,3214400.0,3214400.0,0.60759,3.922,15.92253,"July 26, 22",0.03922
2022-07-25,16.0100002,16.0300007,15.4499998,15.5900002,15.321207,2299000.0,2299000.0,-0.68879,-4.302,15.6004,"July 25, 22",-0.04302
2022-07-22,16.2299995,16.2999992,15.6499996,15.8999996,15.6258621,1613900.0,1613900.0,-0.60414,-3.722,15.85862,"July 22, 22",-0.03722
2022-07-21,16.0499992,16.4799995,15.9899998,16.2999992,16.0189648,1597200.0,1597200.0,-0.03103,-0.193,16.16299,"July 21, 22",-0.00193
2022-07-20,15.5900002,16.1800003,15.5,16.1299992,15.8518963,2244900.0,2244900.0,0.2619,1.68,15.84397,"July 20, 22",0.0168
2022-07-19,15.0500002,15.75,15.0500002,15.5900002,15.321207,1853500.0,1853500.0,0.27121,1.802,15.37374,"July 19, 22",0.01802
2022-07-18,14.6999998,15.3400002,14.6700001,14.7799997,14.5251722,1883100.0,1883100.0,-0.17483,-1.189,14.84506,"July 18, 22",-0.01189
2022-07-15,14.1499996,14.5500002,13.9300003,14.5299997,14.2794828,2127700.0,2127700.0,0.12948,0.915,14.25316,"July 15, 22",0.00915
2022-07-14,13.7299995,13.96,13.5,13.8800001,13.6406898,1163900.0,1163900.0,-0.08931,-0.65,13.70023,"July 14, 22",-0.0065
2022-07-13,13.9200001,14.0699997,13.6999998,14.04,13.7979317,1184400.0,1184400.0,-0.12207,-0.877,13.85598,"July 13, 22",-0.00877
2022-07-12,13.9399996,14.3900003,13.9399996,14.1899996,13.9453449,1470100.0,1470100.0,0.00535,0.038,14.09178,"July 12, 22",3.8E-4
2022-07-11,14.2200003,14.2799997,13.96,14.0200005,13.7782764,1256200.0,1256200.0,-0.44172,-3.106,14.00609,"July 11, 22",-0.03106
2022-07-08,14.1400003,14.6400003,14.1099997,14.3800001,14.1320696,1287700.0,1287700.0,-0.00793,-0.056,14.29402,"July 08, 22",-5.6E-4
2022-07-07,14.1000004,14.29,14.0,14.1499996,13.9060345,1861600.0,1861600.0,-0.19397,-1.376,14.06534,"July 07, 22",-0.01376
2022-07-06,13.9799995,14.0,13.5,13.6899996,13.4539652,2558500.0,2558500.0,-0.52603,-3.763,13.65132,"July 06, 22",-0.03763
2022-07-05,13.9300003,13.9899998,13.2399998,13.9799995,13.738965,2862200.0,2862200.0,-0.19104,-1.371,13.65632,"July 05, 22",-0.01371
2022-07-01,14.6499996,14.8800001,14.0600004,14.1199999,13.8765516,2735900.0,2735900.0,-0.77345,-5.28,14.27218,"July 01, 22",-0.0528
2022-06-30,14.79,14.9399996,14.5500002,14.8500004,14.5939665,3238500.0,3238500.0,-0.19603,-1.325,14.69466,"June 30, 22",-0.01325
2022-06-29,15.4899998,15.5,14.8900003,15.0699997,14.8101721,2065100.0,2065100.0,-0.67983,-4.389,15.06672,"June 29, 22",-0.04389
2022-06-28,16.2999992,16.5200005,15.7299995,15.8199997,15.3015518,2717100.0,2717100.0,-0.99845,-6.125,15.85052,"June 28, 22",-0.06125
2022-06-27,15.8699999,16.3600006,15.8400002,16.2199993,15.6884432,2743200.0,2743200.0,-0.18156,-1.144,15.96281,"June 27, 22",-0.01144
2022-06-24,15.8699999,16.5200005,15.75,15.79,15.2725353,1.77727E7,1.77727E7,-0.59746,-3.765,15.84751,"June 24, 22",-0.03765
2022-06-23,16.1100006,16.3199997,15.5799999,15.7399998,15.2241726,1936500.0,1936500.0,-0.88583,-5.499,15.70806,"June 23, 22",-0.05499
2022-06-22,15.7200003,16.3999996,15.6599998,16.1700001,15.6400814,2587200.0,2587200.0,-0.07992,-0.508,15.90003,"June 22, 22",-0.00508
2022-06-21,16.3500004,16.4500008,15.8800001,15.96,15.436964,2922300.0,2922300.0,-0.91304,-5.584,15.92232,"June 21, 22",-0.05584
2022-06-17,15.8299999,16.2600002,15.6000004,15.96,15.436964,4969300.0,4969300.0,-0.39304,-2.483,15.76565,"June 17, 22",-0.02483
2022-06-16,16.1800003,16.2700005,15.3699999,15.5100002,15.0017118,3424500.0,3424500.0,-1.17829,-7.282,15.54724,"June 16, 22",-0.07282
2022-06-15,15.9499998,16.7900009,15.8999996,16.5799999,16.0366459,2570900.0,2570900.0,0.08665,0.543,16.24222,"June 15, 22",0.00543
2022-06-14,16.5699997,16.7000008,15.6599998,15.8299999,15.311224,2867700.0,2867700.0,-1.25878,-7.597,15.89041,"June 14, 22",-0.07597
2022-06-13,17.2700005,17.4699993,16.4099998,16.4899998,15.9495945,2670100.0,2670100.0,-1.32041,-7.646,16.60986,"June 13, 22",-0.07646
2022-06-10,18.2099991,18.2900009,17.7299995,17.8299999,17.2456818,1348100.0,1348100.0,-0.96432,-5.296,17.75523,"June 10, 22",-0.05296
2022-06-09,18.9599991,18.9599991,18.5200005,18.5400009,17.9324131,1128400.0,1128400.0,-1.02759,-5.42,18.4708,"June 09, 22",-0.0542
2022-06-08,19.0,19.25,18.7800007,19.0499992,18.4256992,1111800.0,1111800.0,-0.5743,-3.023,18.81857,"June 08, 22",-0.03023
2022-06-07,18.8999996,19.0900002,18.7600002,19.0699997,18.4450436,1182900.0,1182900.0,-0.45496,-2.407,18.76501,"June 07, 22",-0.02407
2022-06-06,19.0699997,19.25,18.8500004,19.0900002,18.4643879,1717000.0,1717000.0,-0.60561,-3.176,18.8548,"June 06, 22",-0.03176
2022-06-03,18.8899994,19.0400009,18.6900005,18.7999992,18.1838913,1119400.0,1119400.0,-0.70611,-3.738,18.63796,"June 03, 22",-0.03738
2022-06-02,18.9699993,19.2099991,18.7800007,19.1499996,18.5224209,1265400.0,1265400.0,-0.44758,-2.359,18.83747,"June 02, 22",-0.02359
2022-06-01,18.9300003,19.1599998,18.5300007,18.9200001,18.2999611,1570900.0,1570900.0,-0.63004,-3.328,18.66332,"June 01, 22",-0.03328
2022-05-31,18.5100002,18.9899998,18.1800003,18.8199997,18.2032356,2808500.0,2808500.0,-0.30676,-1.657,18.45775,"May 31, 22",-0.01657
2022-05-27,18.25,18.5400009,18.2399998,18.5300007,17.9227409,1345900.0,1345900.0,-0.32726,-1.793,18.23425,"May 27, 22",-0.01793
