date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-08-05,8.18,8.18,8.18,8.18,8.18,84852.0,84852.0,0.0,0.0,8.18,"August 05, 22",0.0
2022-08-04,8.18,8.18,8.18,8.18,8.18,37976.0,37976.0,0.0,0.0,8.18,"August 04, 22",0.0
2022-08-03,8.18,8.18,8.18,8.18,8.18,34750.0,34750.0,0.0,0.0,8.18,"August 03, 22",0.0
2022-07-28,8.18,8.18,8.18,8.18,8.18,9.0,9.0,0.0,0.0,8.18,"July 28, 22",0.0
2022-07-19,8.18,8.18,8.18,8.18,8.18,53440.0,53440.0,0.0,0.0,8.18,"July 19, 22",0.0
2022-07-18,8.18,8.18,8.18,8.18,8.18,120371.0,120371.0,0.0,0.0,8.18,"July 18, 22",0.0
2022-07-15,8.18,8.18,8.18,8.18,8.18,215927.0,215927.0,0.0,0.0,8.18,"July 15, 22",0.0
2022-07-11,8.18,8.18,8.18,8.18,8.18,41740.0,41740.0,0.0,0.0,8.18,"July 11, 22",0.0
2022-07-07,8.18,8.18,8.18,8.18,8.18,24481.0,24481.0,0.0,0.0,8.18,"July 07, 22",0.0
2022-07-06,8.18,8.18,8.18,8.18,8.18,101.0,101.0,0.0,0.0,8.18,"July 06, 22",0.0
2022-07-01,8.18,8.18,8.18,8.18,8.18,3557.0,3557.0,0.0,0.0,8.18,"July 01, 22",0.0
2022-06-29,8.18,8.18,8.18,8.18,8.18,88872.0,88872.0,0.0,0.0,8.18,"June 29, 22",0.0
2022-06-09,8.18,8.18,8.18,8.18,8.18,17168.0,17168.0,0.0,0.0,8.18,"June 09, 22",0.0
2022-06-08,8.18,8.18,8.18,8.18,8.18,17168.0,17168.0,0.0,0.0,8.18,"June 08, 22",0.0
2022-06-07,8.18,8.18,8.18,8.18,8.18,300.0,300.0,0.0,0.0,8.18,"June 07, 22",0.0
2022-06-06,8.18,8.18,8.18,8.18,8.18,136658.0,136658.0,0.0,0.0,8.18,"June 06, 22",0.0
2022-05-25,8.18,8.18,8.18,8.18,8.18,10262.0,10262.0,0.0,0.0,8.18,"May 25, 22",0.0
2022-05-24,8.18,8.18,8.18,8.18,8.18,2475.0,2475.0,0.0,0.0,8.18,"May 24, 22",0.0
2022-05-23,8.18,8.18,8.18,8.18,8.18,1.0,1.0,0.0,0.0,8.18,"May 23, 22",0.0
2022-05-20,8.37,8.43,8.14,8.18,8.18,2.27699379E8,2.27699379E8,-0.19,-2.27,8.25,"May 20, 22",-0.0227
2022-05-19,8.44,8.645,8.34,8.35,8.35,4.3312493E7,4.3312493E7,-0.09,-1.066,8.445,"May 19, 22",-0.01066
2022-05-18,8.35,8.58,8.35,8.46,8.46,2.9409986E7,2.9409986E7,0.11,1.317,8.46333,"May 18, 22",0.01317
2022-05-17,8.33,8.53,8.235,8.47,8.47,5.215163E7,5.215163E7,0.14,1.681,8.41167,"May 17, 22",0.01681
2022-05-16,7.875,8.01,7.87,7.92,7.92,3.4047817E7,3.4047817E7,0.045,0.571,7.93333,"May 16, 22",0.00571
2022-05-13,7.77,7.96,7.77,7.91,7.91,3.687812E7,3.687812E7,0.14,1.802,7.88,"May 13, 22",0.01802
2022-05-12,7.57,7.82,7.56,7.74,7.74,4.7320339E7,4.7320339E7,0.17,2.246,7.70667,"May 12, 22",0.02246
2022-05-11,7.54,7.88,7.53,7.66,7.66,6.2231908E7,6.2231908E7,0.12,1.592,7.69,"May 11, 22",0.01592
2022-05-10,7.73,7.79,7.51,7.58,7.58,5.9323326E7,5.9323326E7,-0.15,-1.94,7.62667,"May 10, 22",-0.0194
2022-05-09,7.96,8.035,7.66,7.69,7.69,4.4121032E7,4.4121032E7,-0.27,-3.392,7.795,"May 09, 22",-0.03392
2022-05-06,8.29,8.32,8.05,8.08,8.08,3.1458102E7,3.1458102E7,-0.21,-2.533,8.15,"May 06, 22",-0.02533
2022-05-05,8.46,8.47,8.25,8.32,8.32,1.8521829E7,1.8521829E7,-0.14,-1.655,8.34667,"May 05, 22",-0.01655
2022-05-04,8.41,8.5,8.29,8.5,8.5,1.7836076E7,1.7836076E7,0.09,1.07,8.43,"May 04, 22",0.0107
2022-05-03,8.3,8.45,8.28,8.35,8.35,1.9547016E7,1.9547016E7,0.05,0.602,8.36,"May 03, 22",0.00602
2022-05-02,8.28,8.35,8.215,8.34,8.34,1.9653337E7,1.9653337E7,0.06,0.725,8.30167,"May 02, 22",0.00725
2022-04-29,8.36,8.49,8.26,8.27,8.27,2.6990167E7,2.6990167E7,-0.09,-1.077,8.34,"April 29, 22",-0.01077
2022-04-28,8.4,8.46,8.27,8.39,8.39,2.5004792E7,2.5004792E7,-0.01,-0.119,8.37333,"April 28, 22",-0.00119
